rider_name,rider_url,Omloop Nieuwsblad,Kuurne-Brussel-Kuurne,Samyn Classic,Strade Bianche,Nokere Koerse,Bredene Koksijde Classic,Milaan-Sanremo,Ronde van Brugge,E3 Saxo Classic,In Flanders Fields,Dwars door Vlaanderen,Ronde van Vlaanderen,Scheldeprijs,Parijs-Roubaix,Ronde van Limburg,Brabantse Pijl,Amstel Gold Race,Waalse Pijl,Luik-Bastenaken-Luik,races_count
EULÁLIO Afonso,rider/afonso-eulalio,,,,X,,,,,,,,,,,,,,,X,2/19
EVENEPOEL Remco,rider/remco-evenepoel,,,,,,,,,,,,,,,,,X,X,X,3/19
FAGÚNDEZ Eric Antonio,rider/eric-antonio-fagundez,,,,,,,,,X,X,X,X,,,,,,,,4/19
FANCELLU Alessandro,rider/alessandro-fancellu,,,,X,,,,,,,,,,,,,,,,1/19
FAURE PROST Alexy,rider/alexy-faure-prost,,,,X,,,X,,,,,,,,,,,,,2/19
FEDOROV Yevgeniy,rider/yevgeniy-fedorov,,,,,,,X,,X,X,,X,,,,,,,,4/19
FELDMANN Karsten Larsen,rider/karsten-larsen-feldmann,X,,X,,,X,,,,,,X,,,,,,,,4/19
FERRON Valentin,rider/valentin-ferron,,,,,,,X,,,,,,,,,,,,,1/19
FIORELLI Filippo,rider/filippo-fiorelli,,X,,X,,,,,X,,,,,,,,X,,X,5/19
FISHER-BLACK Finn,rider/finn-fisher-black,,,,,,,X,,,,,,,,,,,,,1/19
FLYNN Sean,rider/sean-flynn,X,,X,,,,,,,X,X,X,,,,,,,,5/19
FOLDAGER Anders,rider/anders-foldager,X,,,X,,,X,,,,,,,,,,,,,3/19
FONTAINE Titouan,rider/titouan-fontaine,,X,X,,X,X,,,,,,,,,,,,,,4/19
FOX Matthew,rider/matthew-fox2,,,,X,,,,,,,,,,,,,,,,1/19
FREDHEIM Stian,rider/stian-fredheim,,,,,,,,,,X,X,,,,,,,,,2/19
FRETIN Milan,rider/milan-fretin,,,,,,,,X,,X,,,X,,X,,,,,4/19
FRISON Frederik,rider/frederik-frison,X,X,,,X,X,,,X,X,X,X,,,,,,,,8/19
FROIDEVAUX Robin,rider/robin-froidevaux,,X,,,,,,,,,,,,,,,,,,1/19
GACHIGNARD Thomas,rider/thomas-gachignard,X,,X,,,X,,,X,X,X,X,,,,,,,,7/19
GADEMAN Sam,rider/sam-gademan,,,,,,X,,,,,,,,,,,,,,1/19
